"variable_id","canonical_name","source_system","bea_dataset","bea_table","bea_line","bea_line_description","series_code","sector_boundary","asset_block","account_boundary","frequency","unit","price_basis","stock_flow_type","role_tag","priority","required_for_downstream_object","download_date","vintage","source_url_or_query","status","notes","source_cache_file","aggregation_group"
"FIN__IPP__gross_stock_current_cost","FIN_intellectual_property_products_gross_stock_current_cost","BEA","FixedAssets","not_available","not_available","BEA standard Fixed Assets API does not publish this legal-form-by-asset gross-stock line","not_provided_by_cached_extract","FIN","IPP","fixed_assets","A","not_available","current_cost","gross_stock","frontier_conditioner","diagnostic","downstream_GPIM_benchmark","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","not_available","Preserve as a required gap. Do not substitute net stock or construct GPIM here.","not_available","not_applicable"
"FIN__IPP__net_stock_current_cost","FIN_intellectual_property_products_net_stock_current_cost","BEA","FixedAssets","FAAt401","36","FIN intellectual_property_products net_stock_current_cost","not_provided_by_cached_extract","FIN","IPP","fixed_assets","A","Millions of current dollars","current_cost","net_stock","frontier_conditioner","diagnostic","frontier_conditioning_variables","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt401&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","private_net_cc.csv","not_applicable"
"FIN__IPP__net_stock_quantity_index","FIN_intellectual_property_products_net_stock_quantity_index","BEA","FixedAssets","FAAt402","36","FIN intellectual_property_products net_stock_quantity_index","not_provided_by_cached_extract","FIN","IPP","fixed_assets","A","Chain-type quantity index","chain_quantity_index","net_stock","frontier_conditioner","diagnostic","frontier_conditioning_variables","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt402&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","private_net_chain.csv","not_applicable"
"FIN__IPP__official_price_index","FIN_intellectual_property_products_official_price_index","BEA","FixedAssets","not_available","unmapped","Price index requires a verified BEA table mapping","not_provided_by_cached_extract","FIN","IPP","fixed_assets","A","Index","official_price_index","price_index","frontier_conditioner","diagnostic","official_BEA_price_diagnostic","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","requires_manual_mapping","Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.","not_available","not_applicable"
"FIN__ME__cfc_current_cost","FIN_machinery_equipment_cfc_current_cost","BEA","FixedAssets","FAAt404","34","FIN machinery_equipment cfc_current_cost","not_provided_by_cached_extract","FIN","ME","fixed_assets","A","Millions of current dollars","current_cost","cfc","direct_productive_capacity_capital","diagnostic","downstream_GPIM_and_K_cap","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt404&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","private_dep_cc.csv","not_applicable"
"FIN__ME__gross_investment_current_cost","FIN_machinery_equipment_gross_investment_current_cost","BEA","FixedAssets","FAAt407","34","FIN machinery_equipment gross_investment_current_cost","not_provided_by_cached_extract","FIN","ME","fixed_assets","A","Millions of current dollars","current_cost","gross_investment","direct_productive_capacity_capital","diagnostic","downstream_GPIM_and_K_cap","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt407&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","private_inv.csv","not_applicable"
"FIN__ME__gross_stock_current_cost","FIN_machinery_equipment_gross_stock_current_cost","BEA","FixedAssets","not_available","not_available","BEA standard Fixed Assets API does not publish this legal-form-by-asset gross-stock line","not_provided_by_cached_extract","FIN","ME","fixed_assets","A","not_available","current_cost","gross_stock","direct_productive_capacity_capital","diagnostic","downstream_GPIM_benchmark","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","not_available","Preserve as a required gap. Do not substitute net stock or construct GPIM here.","not_available","not_applicable"
"FIN__ME__net_stock_current_cost","FIN_machinery_equipment_net_stock_current_cost","BEA","FixedAssets","FAAt401","34","FIN machinery_equipment net_stock_current_cost","not_provided_by_cached_extract","FIN","ME","fixed_assets","A","Millions of current dollars","current_cost","net_stock","direct_productive_capacity_capital","diagnostic","downstream_GPIM_and_K_cap","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt401&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","private_net_cc.csv","not_applicable"
"FIN__ME__net_stock_quantity_index","FIN_machinery_equipment_net_stock_quantity_index","BEA","FixedAssets","FAAt402","34","FIN machinery_equipment net_stock_quantity_index","not_provided_by_cached_extract","FIN","ME","fixed_assets","A","Chain-type quantity index","chain_quantity_index","net_stock","direct_productive_capacity_capital","diagnostic","downstream_GPIM_and_K_cap","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt402&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","private_net_chain.csv","not_applicable"
"FIN__ME__official_price_index","FIN_machinery_equipment_official_price_index","BEA","FixedAssets","not_available","unmapped","Price index requires a verified BEA table mapping","not_provided_by_cached_extract","FIN","ME","fixed_assets","A","Index","official_price_index","price_index","direct_productive_capacity_capital","diagnostic","official_BEA_price_diagnostic","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","requires_manual_mapping","Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.","not_available","not_applicable"
"FIN__NRC__cfc_current_cost","FIN_nonresidential_structures_cfc_current_cost","BEA","FixedAssets","FAAt404","35","FIN nonresidential_structures cfc_current_cost","not_provided_by_cached_extract","FIN","NRC","fixed_assets","A","Millions of current dollars","current_cost","cfc","direct_productive_capacity_capital","diagnostic","downstream_GPIM_and_K_cap","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt404&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","private_dep_cc.csv","not_applicable"
"FIN__NRC__gross_investment_current_cost","FIN_nonresidential_structures_gross_investment_current_cost","BEA","FixedAssets","FAAt407","35","FIN nonresidential_structures gross_investment_current_cost","not_provided_by_cached_extract","FIN","NRC","fixed_assets","A","Millions of current dollars","current_cost","gross_investment","direct_productive_capacity_capital","diagnostic","downstream_GPIM_and_K_cap","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt407&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","private_inv.csv","not_applicable"
"FIN__NRC__gross_stock_current_cost","FIN_nonresidential_structures_gross_stock_current_cost","BEA","FixedAssets","not_available","not_available","BEA standard Fixed Assets API does not publish this legal-form-by-asset gross-stock line","not_provided_by_cached_extract","FIN","NRC","fixed_assets","A","not_available","current_cost","gross_stock","direct_productive_capacity_capital","diagnostic","downstream_GPIM_benchmark","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","not_available","Preserve as a required gap. Do not substitute net stock or construct GPIM here.","not_available","not_applicable"
"FIN__NRC__net_stock_current_cost","FIN_nonresidential_structures_net_stock_current_cost","BEA","FixedAssets","FAAt401","35","FIN nonresidential_structures net_stock_current_cost","not_provided_by_cached_extract","FIN","NRC","fixed_assets","A","Millions of current dollars","current_cost","net_stock","direct_productive_capacity_capital","diagnostic","downstream_GPIM_and_K_cap","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt401&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","private_net_cc.csv","not_applicable"
"FIN__NRC__net_stock_quantity_index","FIN_nonresidential_structures_net_stock_quantity_index","BEA","FixedAssets","FAAt402","35","FIN nonresidential_structures net_stock_quantity_index","not_provided_by_cached_extract","FIN","NRC","fixed_assets","A","Chain-type quantity index","chain_quantity_index","net_stock","direct_productive_capacity_capital","diagnostic","downstream_GPIM_and_K_cap","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt402&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","private_net_chain.csv","not_applicable"
"FIN__NRC__official_price_index","FIN_nonresidential_structures_official_price_index","BEA","FixedAssets","not_available","unmapped","Price index requires a verified BEA table mapping","not_provided_by_cached_extract","FIN","NRC","fixed_assets","A","Index","official_price_index","price_index","direct_productive_capacity_capital","diagnostic","official_BEA_price_diagnostic","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","requires_manual_mapping","Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.","not_available","not_applicable"
"FIN__TOTAL__cfc_current_cost","FIN_total_cfc_current_cost","BEA","FixedAssets","FAAt404","33","FIN total cfc_current_cost","not_provided_by_cached_extract","FIN","TOTAL","fixed_assets","A","Millions of current dollars","current_cost","cfc","capital_menu_total","diagnostic","sector_total_diagnostic","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt404&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","private_dep_cc.csv","not_applicable"
"FIN__TOTAL__gross_investment_current_cost","FIN_total_gross_investment_current_cost","BEA","FixedAssets","FAAt407","33","FIN total gross_investment_current_cost","not_provided_by_cached_extract","FIN","TOTAL","fixed_assets","A","Millions of current dollars","current_cost","gross_investment","capital_menu_total","diagnostic","sector_total_diagnostic","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt407&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","private_inv.csv","not_applicable"
"FIN__TOTAL__gross_stock_current_cost","FIN_total_gross_stock_current_cost","BEA","FixedAssets","not_available","not_available","BEA standard Fixed Assets API does not publish this legal-form-by-asset gross-stock line","not_provided_by_cached_extract","FIN","TOTAL","fixed_assets","A","not_available","current_cost","gross_stock","capital_menu_total","diagnostic","downstream_GPIM_benchmark","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","not_available","Preserve as a required gap. Do not substitute net stock or construct GPIM here.","not_available","not_applicable"
"FIN__TOTAL__net_stock_current_cost","FIN_total_net_stock_current_cost","BEA","FixedAssets","FAAt401","33","FIN total net_stock_current_cost","not_provided_by_cached_extract","FIN","TOTAL","fixed_assets","A","Millions of current dollars","current_cost","net_stock","capital_menu_total","diagnostic","sector_total_diagnostic","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt401&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","private_net_cc.csv","not_applicable"
"FIN__TOTAL__net_stock_quantity_index","FIN_total_net_stock_quantity_index","BEA","FixedAssets","FAAt402","33","FIN total net_stock_quantity_index","not_provided_by_cached_extract","FIN","TOTAL","fixed_assets","A","Chain-type quantity index","chain_quantity_index","net_stock","capital_menu_total","diagnostic","sector_total_diagnostic","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt402&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","private_net_chain.csv","not_applicable"
"FIN__TOTAL__official_price_index","FIN_total_official_price_index","BEA","FixedAssets","not_available","unmapped","Price index requires a verified BEA table mapping","not_provided_by_cached_extract","FIN","TOTAL","fixed_assets","A","Index","official_price_index","price_index","capital_menu_total","diagnostic","official_BEA_price_diagnostic","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","requires_manual_mapping","Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.","not_available","not_applicable"
"NFC__IPP__official_price_index","NFC_intellectual_property_products_official_price_index","BEA","FixedAssets","not_available","unmapped","Price index requires a verified BEA table mapping","not_provided_by_cached_extract","NFC","IPP","fixed_assets","A","Index","official_price_index","price_index","frontier_conditioner","diagnostic","official_BEA_price_diagnostic","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","requires_manual_mapping","Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.","not_available","not_applicable"
"NFC__ME__official_price_index","NFC_machinery_equipment_official_price_index","BEA","FixedAssets","not_available","unmapped","Price index requires a verified BEA table mapping","not_provided_by_cached_extract","NFC","ME","fixed_assets","A","Index","official_price_index","price_index","direct_productive_capacity_capital","diagnostic","official_BEA_price_diagnostic","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","requires_manual_mapping","Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.","not_available","not_applicable"
"NFC__NRC__official_price_index","NFC_nonresidential_structures_official_price_index","BEA","FixedAssets","not_available","unmapped","Price index requires a verified BEA table mapping","not_provided_by_cached_extract","NFC","NRC","fixed_assets","A","Index","official_price_index","price_index","direct_productive_capacity_capital","diagnostic","official_BEA_price_diagnostic","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","requires_manual_mapping","Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.","not_available","not_applicable"
"NFC__TOTAL__official_price_index","NFC_total_official_price_index","BEA","FixedAssets","not_available","unmapped","Price index requires a verified BEA table mapping","not_provided_by_cached_extract","NFC","TOTAL","fixed_assets","A","Index","official_price_index","price_index","capital_menu_total","diagnostic","official_BEA_price_diagnostic","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","requires_manual_mapping","Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.","not_available","not_applicable"
"NFC_AFTER_TAX","NFC_profits_after_tax_IVA_CCAdj","BEA","NIPA","T11400","29","NIPA Table 1.14 line 29","not_provided_by_cached_extract","NFC","not_applicable","income_accounts","A","Millions of current dollars","current_cost","after_tax_profits","income_account_ingredient","diagnostic","Shaikh_income_correction_and_distributive_variables","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=NIPA&TableName=T11400&Frequency=A&Year=X&ResultFormat=JSON","staged","Direct NIPA Table 1.14 line; no adjusted share is constructed here.","nipa_t1014.csv","not_applicable"
"NFC_PAT","NFC_profits_after_tax","BEA","NIPA","T11400","33","NIPA Table 1.14 line 33","not_provided_by_cached_extract","NFC","not_applicable","income_accounts","A","Millions of current dollars","current_cost","after_tax_profits","income_account_ingredient","diagnostic","Shaikh_income_correction_and_distributive_variables","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=NIPA&TableName=T11400&Frequency=A&Year=X&ResultFormat=JSON","staged","Direct NIPA Table 1.14 line; no adjusted share is constructed here.","nipa_t1014.csv","not_applicable"
"NFC_RETAINED","NFC_undistributed_profits_after_tax","BEA","NIPA","T11400","34","NIPA Table 1.14 line 34","not_provided_by_cached_extract","NFC","not_applicable","income_accounts","A","Millions of current dollars","current_cost","undistributed_profits","income_account_ingredient","diagnostic","Shaikh_income_correction_and_distributive_variables","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=NIPA&TableName=T11400&Frequency=A&Year=X&ResultFormat=JSON","staged","Direct NIPA Table 1.14 line; no adjusted share is constructed here.","nipa_t1014.csv","not_applicable"
"NFC_TAX","NFC_taxes_corporate_income","BEA","NIPA","T11400","28","NIPA Table 1.14 line 28","not_provided_by_cached_extract","NFC","not_applicable","income_accounts","A","Millions of current dollars","current_cost","corporate_taxes","income_account_ingredient","diagnostic","Shaikh_income_correction_and_distributive_variables","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=NIPA&TableName=T11400&Frequency=A&Year=X&ResultFormat=JSON","staged","Direct NIPA Table 1.14 line; no adjusted share is constructed here.","nipa_t1014.csv","not_applicable"
"NFC_UNDISTRIBUTED","NFC_undistributed_profits_IVA_CCAdj","BEA","NIPA","T11400","31","NIPA Table 1.14 line 31","not_provided_by_cached_extract","NFC","not_applicable","income_accounts","A","Millions of current dollars","current_cost","undistributed_profits","income_account_ingredient","diagnostic","Shaikh_income_correction_and_distributive_variables","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=NIPA&TableName=T11400&Frequency=A&Year=X&ResultFormat=JSON","staged","Direct NIPA Table 1.14 line; no adjusted share is constructed here.","nipa_t1014.csv","not_applicable"
"RESIDENTIAL_CAPITAL_MENU","residential_capital_menu","BEA","FixedAssets","not_available","unmapped","Residential fixed-assets table mapping","not_provided_by_cached_extract","PRIVATE","RESIDENTIAL","fixed_assets","A","various","various","capital_stock","exclusion_diagnostic","diagnostic","residential_exclusion_diagnostic","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","requires_manual_mapping","Preserve as an exclusion diagnostic; never include silently in K_cap.","not_available","not_applicable"
"DOWNSTREAM__e_adj_CORP","e_adj_CORP","downstream_repo","not_applicable","downstream_only","not_applicable","Constructed only in Capacity-Utilization-US_Chile","not_provided_by_cached_extract","CORP","not_applicable","analytical_construction","A","not_applicable","not_applicable","analytical_object","downstream_analytical_object","downstream","e_adj_CORP","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","downstream_constructed_only","Provider supplies ingredients only. This row is a construction contract, not staged data.","not_available","not_applicable"
"DOWNSTREAM__ln_e_adj_CORP","ln_e_adj_CORP","downstream_repo","not_applicable","downstream_only","not_applicable","Constructed only in Capacity-Utilization-US_Chile","not_provided_by_cached_extract","CORP","not_applicable","analytical_construction","A","not_applicable","not_applicable","analytical_object","downstream_analytical_object","downstream","ln_e_adj_CORP","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","downstream_constructed_only","Provider supplies ingredients only. This row is a construction contract, not staged data.","not_available","not_applicable"
"DOWNSTREAM__omega_adj_CORP","omega_adj_CORP","downstream_repo","not_applicable","downstream_only","not_applicable","Constructed only in Capacity-Utilization-US_Chile","not_provided_by_cached_extract","CORP","not_applicable","analytical_construction","A","not_applicable","not_applicable","analytical_object","downstream_analytical_object","downstream","omega_adj_CORP","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","downstream_constructed_only","Provider supplies ingredients only. This row is a construction contract, not staged data.","not_available","not_applicable"
"DOWNSTREAM__pi_adj_CORP","pi_adj_CORP","downstream_repo","not_applicable","downstream_only","not_applicable","Constructed only in Capacity-Utilization-US_Chile","not_provided_by_cached_extract","CORP","not_applicable","analytical_construction","A","not_applicable","not_applicable","analytical_object","downstream_analytical_object","downstream","pi_adj_CORP","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","downstream_constructed_only","Provider supplies ingredients only. This row is a construction contract, not staged data.","not_available","not_applicable"
"DOWNSTREAM__e_adj_NFC","e_adj_NFC","downstream_repo","not_applicable","downstream_only","not_applicable","Constructed only in Capacity-Utilization-US_Chile","not_provided_by_cached_extract","NFC","not_applicable","analytical_construction","A","not_applicable","not_applicable","analytical_object","downstream_analytical_object","downstream","e_adj_NFC","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","downstream_constructed_only","Provider supplies ingredients only. This row is a construction contract, not staged data.","not_available","not_applicable"
