variable_id,display_name,concept_family,sector_boundary,account_position,source_status,candidate_status,constructibility_status,allowed_use,prohibited_use,downstream_stage,notes
FIN__ME__cfc_current_cost,FIN_machinery_equipment_cfc_current_cost,downstream_GPIM_and_K_cap,FIN,fixed_assets,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
FIN__ME__gross_investment_current_cost,FIN_machinery_equipment_gross_investment_current_cost,downstream_GPIM_and_K_cap,FIN,fixed_assets,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
FIN__ME__gross_stock_current_cost,FIN_machinery_equipment_gross_stock_current_cost,downstream_GPIM_benchmark,FIN,fixed_assets,not_available,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Preserve as a required gap. Do not substitute net stock or construct GPIM here.
FIN__ME__net_stock_current_cost,FIN_machinery_equipment_net_stock_current_cost,downstream_GPIM_and_K_cap,FIN,fixed_assets,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
FIN__ME__net_stock_quantity_index,FIN_machinery_equipment_net_stock_quantity_index,downstream_GPIM_and_K_cap,FIN,fixed_assets,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
FIN__ME__official_price_index,FIN_machinery_equipment_official_price_index,official_BEA_price_diagnostic,FIN,fixed_assets,requires_manual_mapping,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.
FIN__NRC__cfc_current_cost,FIN_nonresidential_structures_cfc_current_cost,downstream_GPIM_and_K_cap,FIN,fixed_assets,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
FIN__NRC__gross_investment_current_cost,FIN_nonresidential_structures_gross_investment_current_cost,downstream_GPIM_and_K_cap,FIN,fixed_assets,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
FIN__NRC__gross_stock_current_cost,FIN_nonresidential_structures_gross_stock_current_cost,downstream_GPIM_benchmark,FIN,fixed_assets,not_available,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Preserve as a required gap. Do not substitute net stock or construct GPIM here.
FIN__NRC__net_stock_current_cost,FIN_nonresidential_structures_net_stock_current_cost,downstream_GPIM_and_K_cap,FIN,fixed_assets,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
FIN__NRC__net_stock_quantity_index,FIN_nonresidential_structures_net_stock_quantity_index,downstream_GPIM_and_K_cap,FIN,fixed_assets,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
FIN__NRC__official_price_index,FIN_nonresidential_structures_official_price_index,official_BEA_price_diagnostic,FIN,fixed_assets,requires_manual_mapping,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.
FIN__TOTAL__cfc_current_cost,FIN_total_cfc_current_cost,sector_total_diagnostic,FIN,fixed_assets,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
FIN__TOTAL__gross_investment_current_cost,FIN_total_gross_investment_current_cost,sector_total_diagnostic,FIN,fixed_assets,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
FIN__TOTAL__gross_stock_current_cost,FIN_total_gross_stock_current_cost,downstream_GPIM_benchmark,FIN,fixed_assets,not_available,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Preserve as a required gap. Do not substitute net stock or construct GPIM here.
FIN__TOTAL__net_stock_current_cost,FIN_total_net_stock_current_cost,sector_total_diagnostic,FIN,fixed_assets,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
FIN__TOTAL__net_stock_quantity_index,FIN_total_net_stock_quantity_index,sector_total_diagnostic,FIN,fixed_assets,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
FIN__TOTAL__official_price_index,FIN_total_official_price_index,official_BEA_price_diagnostic,FIN,fixed_assets,requires_manual_mapping,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.
NFC__IPP__official_price_index,NFC_intellectual_property_products_official_price_index,official_BEA_price_diagnostic,NFC,fixed_assets,requires_manual_mapping,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.
NFC__ME__official_price_index,NFC_machinery_equipment_official_price_index,official_BEA_price_diagnostic,NFC,fixed_assets,requires_manual_mapping,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.
NFC__NRC__official_price_index,NFC_nonresidential_structures_official_price_index,official_BEA_price_diagnostic,NFC,fixed_assets,requires_manual_mapping,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.
NFC__TOTAL__official_price_index,NFC_total_official_price_index,official_BEA_price_diagnostic,NFC,fixed_assets,requires_manual_mapping,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.
NFC_AFTER_TAX,NFC_profits_after_tax_IVA_CCAdj,Shaikh_income_correction_and_distributive_variables,NFC,income_accounts,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct NIPA Table 1.14 line; no adjusted share is constructed here.
NFC_PAT,NFC_profits_after_tax,Shaikh_income_correction_and_distributive_variables,NFC,income_accounts,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct NIPA Table 1.14 line; no adjusted share is constructed here.
NFC_RETAINED,NFC_undistributed_profits_after_tax,Shaikh_income_correction_and_distributive_variables,NFC,income_accounts,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct NIPA Table 1.14 line; no adjusted share is constructed here.
NFC_TAX,NFC_taxes_corporate_income,Shaikh_income_correction_and_distributive_variables,NFC,income_accounts,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct NIPA Table 1.14 line; no adjusted share is constructed here.
NFC_UNDISTRIBUTED,NFC_undistributed_profits_IVA_CCAdj,Shaikh_income_correction_and_distributive_variables,NFC,income_accounts,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct NIPA Table 1.14 line; no adjusted share is constructed here.
RESIDENTIAL_CAPITAL_MENU,residential_capital_menu,residential_exclusion_diagnostic,PRIVATE,fixed_assets,requires_manual_mapping,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Preserve as an exclusion diagnostic; never include silently in K_cap.
DOWNSTREAM__e_adj_CORP,e_adj_CORP,e_adj_CORP,CORP,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__ln_e_adj_CORP,ln_e_adj_CORP,ln_e_adj_CORP,CORP,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__omega_adj_CORP,omega_adj_CORP,omega_adj_CORP,CORP,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__pi_adj_CORP,pi_adj_CORP,pi_adj_CORP,CORP,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__e_adj_NFC,e_adj_NFC,e_adj_NFC,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__e_x_Kcap,e_x_Kcap,e_x_Kcap,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__e_x_ME,e_x_ME,e_x_ME,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__e_x_ME_NRC_gap,e_x_ME_NRC_gap,e_x_ME_NRC_gap,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__e_x_NRC,e_x_NRC,e_x_NRC,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__GOV_TRANS_GPIM,GOV_TRANS_GPIM,GOV_TRANS_GPIM,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__IPP_NFC_GPIM,IPP_NFC_GPIM,IPP_NFC_GPIM,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__K_G_NFC_KCAP_GPIM,K_G_NFC_KCAP_GPIM,K_G_NFC_KCAP_GPIM,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__K_G_NFC_ME_GPIM,K_G_NFC_ME_GPIM,K_G_NFC_ME_GPIM,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__K_G_NFC_NRC_GPIM,K_G_NFC_NRC_GPIM,K_G_NFC_NRC_GPIM,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__K_N_NFC_KCAP_GPIM,K_N_NFC_KCAP_GPIM,K_N_NFC_KCAP_GPIM,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__K_N_NFC_ME_GPIM,K_N_NFC_ME_GPIM,K_N_NFC_ME_GPIM,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__K_N_NFC_NRC_GPIM,K_N_NFC_NRC_GPIM,K_N_NFC_NRC_GPIM,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__ln_e_adj_NFC,ln_e_adj_NFC,ln_e_adj_NFC,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__omega_adj_NFC,omega_adj_NFC,omega_adj_NFC,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__P_K_NFC_ME_GPIM,P_K_NFC_ME_GPIM,P_K_NFC_ME_GPIM,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__P_K_NFC_NRC_GPIM,P_K_NFC_NRC_GPIM,P_K_NFC_NRC_GPIM,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__pi_adj_NFC,pi_adj_NFC,pi_adj_NFC,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
INVENTORIES_MENU,inventories_menu,inventory_diagnostic,CORP,income_accounts,requires_manual_mapping,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Optional circulation stock-flow diagnostic.
CORP__current_transfer_payments,CORP_current_transfer_payments,Shaikh_income_correction,CORP,income_accounts,requires_manual_mapping,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred."
