concept_id,concept_name,account_ladder_position,net_of_what,not_net_of_what,not_equivalent_to,flow_direction_logic,sector_boundary,productive_value_claim,financial_power_claim,commercial_capital_blur,source_layer,notes
net_interest,net_interest,property-income decomposition layer,interest received,production costs or productive value,GVA; GOS; NOS; productive value,"interest paid minus interest received, or current BEA line-specific net direction if different",nonfinancial corporate,no,claim_on_surplus,yes - transfer/appropriation channel,S20E_CL_conceptual_account_ladder_ledger,Interest paid less interest received within the named account boundary.
imputed_interest,imputed_interest,imputed financial-services/accounting correction layer,imputed interest received when netted,productive value; monopoly power; financial claims on surplus,GVA; GOS; NOS; productive value,imputed paid and received directions must be interpreted by current BEA line family,nonfinancial corporate,no,claim_on_surplus,yes - financial intermediation/accounting imputation,S20E_CL_conceptual_account_ladder_ledger,BEA imputed interest paid/received tied to financial intermediation and reference-rate accounting.
compensation,compensation,income-side production component,not applicable,surplus or profit,,not_applicable,nonfinancial corporate,restricted,not_applicable,yes - productive/nonproductive labor boundary not solved here,S20E_CL_conceptual_account_ladder_ledger,Employee compensation paid.
CFC,CFC,GOS-to-NOS bridge,not applicable,compensation; taxes; interest; profits,,not_applicable,nonfinancial corporate,not_applicable,not_applicable,no,S20E_CL_conceptual_account_ladder_ledger,Consumption of fixed capital.
taxes_less_subsidies,taxes_less_subsidies,income-side production component,subsidies,compensation; surplus; interest,,not_applicable,nonfinancial corporate,not_applicable,not_applicable,no,S20E_CL_conceptual_account_ladder_ledger,Taxes on production and imports less subsidies.
transfers,transfers,distribution/transfer decomposition layer,current transfers received when netted,operating surplus,,not_applicable,nonfinancial corporate,not_applicable,not_applicable,yes - transfer category,S20E_CL_conceptual_account_ladder_ledger,Current transfer payments net.
Shaikh_style_restoration_term,Shaikh_style_restoration_term,interpretation-conditional correction/restoration layer,NIPA imputed-interest treatment effects under the accounting-restoration interpretation,corporate profit; pure surplus value; baseline variable,,"restoration term applied through GVA/GOS/NOS ladder, not profit addition",nonfinancial corporate,no,correction_ingredient_only,"yes - correction only, not resolution",S20E_CL_conceptual_account_ladder_ledger,Appendix 6.7-style term that restores imputed-interest treatment effects on corporate GVA/GOS/NOS.
CORP,Corporate sector as a whole,sector_boundary,not_applicable,not_applicable,productive-theoretical boundary unless explicitly reviewed,not_applicable,Corporate sector as a whole,no,transfer_appropriation_channel,high,S20E_CL_sector_boundary_ledger,BEA legal form; not identical to productive-theoretical boundary.
FC,Financial corporate,sector_boundary,not_applicable,not_applicable,productive-theoretical boundary unless explicitly reviewed,not_applicable,Financial corporate,no,mixed_review,high,S20E_CL_sector_boundary_ledger,"Correction ingredient only; banking/finance is not productive capital and may express claims on surplus, monopoly power, or appropriation channels."
NFC,Nonfinancial corporate,sector_boundary,not_applicable,not_applicable,productive-theoretical boundary unless explicitly reviewed,not_applicable,Nonfinancial corporate,partial,not_applicable,medium,S20E_CL_sector_boundary_ledger,Closer to Chapter 2 baseline but still not a pure productive-theory boundary.
BUSINESS,Business-wide,sector_boundary,not_applicable,not_applicable,productive-theoretical boundary unless explicitly reviewed,not_applicable,Business-wide,no,transfer_appropriation_channel,high,S20E_CL_sector_boundary_ledger,Requires noncorporate and WEQ-style review; not solved here.
NONCORP,Noncorporate business,sector_boundary,not_applicable,not_applicable,productive-theoretical boundary unless explicitly reviewed,not_applicable,Noncorporate business,partial,not_applicable,high,S20E_CL_sector_boundary_ledger,Mixed income and proprietor labour-equivalent problem parked.
PRODUCTIVE_THEORY,Productive-theoretical boundary,sector_boundary,not_applicable,not_applicable,productive-theoretical boundary unless explicitly reviewed,not_applicable,Productive-theoretical boundary,yes,not_applicable,explicit limitation,S20E_CL_sector_boundary_ledger,Not directly observable from BEA legal-form lines.
