metadata_id,source_layer,source_dataset,source_table,source_line,source_line_description,unit,frequency,coverage_start,coverage_end,row_count,retrieval_or_vintage,status,notes
NFC__NRC__official_price_index,provider_source_provenance,FixedAssets,not_available,unmapped,Price index requires a verified BEA table mapping,Index,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,requires_manual_mapping,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.
NFC__TOTAL__official_price_index,provider_source_provenance,FixedAssets,not_available,unmapped,Price index requires a verified BEA table mapping,Index,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,requires_manual_mapping,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.
NFC_AFTER_TAX,provider_source_provenance,NIPA,T11400,29,Profits after tax with IVA and CCAdj,Millions of current dollars,A,1929,2025,97,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct NIPA Table 1.14 line; no adjusted share is constructed here.
NFC_PAT,provider_source_provenance,NIPA,T11400,33,Profits after tax (without IVA and CCAdj),Millions of current dollars,A,1929,2025,97,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct NIPA Table 1.14 line; no adjusted share is constructed here.
NFC_RETAINED,provider_source_provenance,NIPA,T11400,34,Undistributed profits after tax (without IVA and CCAdj),Millions of current dollars,A,1929,2025,97,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct NIPA Table 1.14 line; no adjusted share is constructed here.
NFC_TAX,provider_source_provenance,NIPA,T11400,28,Taxes on corporate income,Millions of current dollars,A,1929,2025,97,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct NIPA Table 1.14 line; no adjusted share is constructed here.
NFC_UNDISTRIBUTED,provider_source_provenance,NIPA,T11400,31,Undistributed profits with IVA and CCAdj,Millions of current dollars,A,1929,2025,97,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct NIPA Table 1.14 line; no adjusted share is constructed here.
RESIDENTIAL_CAPITAL_MENU,provider_source_provenance,FixedAssets,not_available,unmapped,Residential fixed-assets table mapping,various,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,requires_manual_mapping,Preserve as an exclusion diagnostic; never include silently in K_cap.
DOWNSTREAM__e_adj_CORP,provider_source_provenance,not_applicable,downstream_only,not_applicable,Constructed only in Capacity-Utilization-US_Chile,not_applicable,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,downstream_constructed_only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__ln_e_adj_CORP,provider_source_provenance,not_applicable,downstream_only,not_applicable,Constructed only in Capacity-Utilization-US_Chile,not_applicable,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,downstream_constructed_only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__omega_adj_CORP,provider_source_provenance,not_applicable,downstream_only,not_applicable,Constructed only in Capacity-Utilization-US_Chile,not_applicable,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,downstream_constructed_only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__pi_adj_CORP,provider_source_provenance,not_applicable,downstream_only,not_applicable,Constructed only in Capacity-Utilization-US_Chile,not_applicable,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,downstream_constructed_only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__e_adj_NFC,provider_source_provenance,not_applicable,downstream_only,not_applicable,Constructed only in Capacity-Utilization-US_Chile,not_applicable,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,downstream_constructed_only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__e_x_Kcap,provider_source_provenance,not_applicable,downstream_only,not_applicable,Constructed only in Capacity-Utilization-US_Chile,not_applicable,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,downstream_constructed_only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__e_x_ME,provider_source_provenance,not_applicable,downstream_only,not_applicable,Constructed only in Capacity-Utilization-US_Chile,not_applicable,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,downstream_constructed_only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__e_x_ME_NRC_gap,provider_source_provenance,not_applicable,downstream_only,not_applicable,Constructed only in Capacity-Utilization-US_Chile,not_applicable,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,downstream_constructed_only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__e_x_NRC,provider_source_provenance,not_applicable,downstream_only,not_applicable,Constructed only in Capacity-Utilization-US_Chile,not_applicable,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,downstream_constructed_only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__GOV_TRANS_GPIM,provider_source_provenance,not_applicable,downstream_only,not_applicable,Constructed only in Capacity-Utilization-US_Chile,not_applicable,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,downstream_constructed_only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__IPP_NFC_GPIM,provider_source_provenance,not_applicable,downstream_only,not_applicable,Constructed only in Capacity-Utilization-US_Chile,not_applicable,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,downstream_constructed_only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__K_G_NFC_KCAP_GPIM,provider_source_provenance,not_applicable,downstream_only,not_applicable,Constructed only in Capacity-Utilization-US_Chile,not_applicable,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,downstream_constructed_only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__K_G_NFC_ME_GPIM,provider_source_provenance,not_applicable,downstream_only,not_applicable,Constructed only in Capacity-Utilization-US_Chile,not_applicable,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,downstream_constructed_only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__K_G_NFC_NRC_GPIM,provider_source_provenance,not_applicable,downstream_only,not_applicable,Constructed only in Capacity-Utilization-US_Chile,not_applicable,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,downstream_constructed_only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__K_N_NFC_KCAP_GPIM,provider_source_provenance,not_applicable,downstream_only,not_applicable,Constructed only in Capacity-Utilization-US_Chile,not_applicable,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,downstream_constructed_only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__K_N_NFC_ME_GPIM,provider_source_provenance,not_applicable,downstream_only,not_applicable,Constructed only in Capacity-Utilization-US_Chile,not_applicable,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,downstream_constructed_only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__K_N_NFC_NRC_GPIM,provider_source_provenance,not_applicable,downstream_only,not_applicable,Constructed only in Capacity-Utilization-US_Chile,not_applicable,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,downstream_constructed_only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__ln_e_adj_NFC,provider_source_provenance,not_applicable,downstream_only,not_applicable,Constructed only in Capacity-Utilization-US_Chile,not_applicable,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,downstream_constructed_only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__omega_adj_NFC,provider_source_provenance,not_applicable,downstream_only,not_applicable,Constructed only in Capacity-Utilization-US_Chile,not_applicable,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,downstream_constructed_only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__P_K_NFC_ME_GPIM,provider_source_provenance,not_applicable,downstream_only,not_applicable,Constructed only in Capacity-Utilization-US_Chile,not_applicable,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,downstream_constructed_only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__P_K_NFC_NRC_GPIM,provider_source_provenance,not_applicable,downstream_only,not_applicable,Constructed only in Capacity-Utilization-US_Chile,not_applicable,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,downstream_constructed_only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
DOWNSTREAM__pi_adj_NFC,provider_source_provenance,not_applicable,downstream_only,not_applicable,Constructed only in Capacity-Utilization-US_Chile,not_applicable,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,downstream_constructed_only,"Provider supplies ingredients only. This row is a construction contract, not staged data."
INVENTORIES_MENU,provider_source_provenance,NIPA,not_available,unmapped,Inventory stock/flow table mapping,various,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,requires_manual_mapping,Optional circulation stock-flow diagnostic.
CORP__current_transfer_payments,provider_source_provenance,NIPA,not_available,unmapped,Separate payment and receipt line requires verified NIPA mapping,Millions of current dollars,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,requires_manual_mapping,"Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred."
CORP__current_transfer_receipts,provider_source_provenance,NIPA,not_available,unmapped,Separate payment and receipt line requires verified NIPA mapping,Millions of current dollars,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,requires_manual_mapping,"Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred."
CORP__dividends_paid,provider_source_provenance,NIPA,not_available,unmapped,Separate payment and receipt line requires verified NIPA mapping,Millions of current dollars,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,requires_manual_mapping,"Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred."
CORP__dividends_received,provider_source_provenance,NIPA,not_available,unmapped,Separate payment and receipt line requires verified NIPA mapping,Millions of current dollars,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,requires_manual_mapping,"Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred."
CORP__IPP__cfc_current_cost,provider_source_provenance,FixedAssets,FAAt404,20,Intellectual property products,Millions of current dollars,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__gross_investment_current_cost,provider_source_provenance,FixedAssets,FAAt407,20,Intellectual property products,Millions of current dollars,A,1901,2024,124,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__gross_stock_current_cost,provider_source_provenance,FixedAssets,not_available,not_available,BEA standard Fixed Assets API does not publish this legal-form-by-asset gross-stock line,not_available,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,not_available,Preserve as a required gap. Do not substitute net stock or construct GPIM here.
CORP__IPP__net_stock_current_cost,provider_source_provenance,FixedAssets,FAAt401,20,Intellectual property products,Millions of current dollars,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__net_stock_quantity_index,provider_source_provenance,FixedAssets,FAAt402,20,Intellectual property products,Chain-type quantity index,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__retirements,provider_source_provenance,FixedAssets,not_available,not_available,retirements not directly available in the staged standard table menu,not_available,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,not_available,Retain as an explicit provider gap; no residual construction is permitted here.
CORP__IPP__revaluation_holding_gains,provider_source_provenance,FixedAssets,not_available,not_available,revaluation_holding_gains not directly available in the staged standard table menu,not_available,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,not_available,Retain as an explicit provider gap; no residual construction is permitted here.
CORP__ME__cfc_current_cost,provider_source_provenance,FixedAssets,FAAt404,18,Equipment,Millions of current dollars,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__ME__gross_investment_current_cost,provider_source_provenance,FixedAssets,FAAt407,18,Equipment,Millions of current dollars,A,1901,2024,124,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__ME__gross_stock_current_cost,provider_source_provenance,FixedAssets,not_available,not_available,BEA standard Fixed Assets API does not publish this legal-form-by-asset gross-stock line,not_available,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,not_available,Preserve as a required gap. Do not substitute net stock or construct GPIM here.
CORP__ME__net_stock_current_cost,provider_source_provenance,FixedAssets,FAAt401,18,Equipment,Millions of current dollars,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__ME__net_stock_quantity_index,provider_source_provenance,FixedAssets,FAAt402,18,Equipment,Chain-type quantity index,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__ME__retirements,provider_source_provenance,FixedAssets,not_available,not_available,retirements not directly available in the staged standard table menu,not_available,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,not_available,Retain as an explicit provider gap; no residual construction is permitted here.
CORP__ME__revaluation_holding_gains,provider_source_provenance,FixedAssets,not_available,not_available,revaluation_holding_gains not directly available in the staged standard table menu,not_available,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,not_available,Retain as an explicit provider gap; no residual construction is permitted here.
CORP__NRC__cfc_current_cost,provider_source_provenance,FixedAssets,FAAt404,19,Structures,Millions of current dollars,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__NRC__gross_investment_current_cost,provider_source_provenance,FixedAssets,FAAt407,19,Structures,Millions of current dollars,A,1901,2024,124,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__NRC__gross_stock_current_cost,provider_source_provenance,FixedAssets,not_available,not_available,BEA standard Fixed Assets API does not publish this legal-form-by-asset gross-stock line,not_available,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,not_available,Preserve as a required gap. Do not substitute net stock or construct GPIM here.
CORP__NRC__net_stock_current_cost,provider_source_provenance,FixedAssets,FAAt401,19,Structures,Millions of current dollars,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__NRC__net_stock_quantity_index,provider_source_provenance,FixedAssets,FAAt402,19,Structures,Chain-type quantity index,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__NRC__retirements,provider_source_provenance,FixedAssets,not_available,not_available,retirements not directly available in the staged standard table menu,not_available,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,not_available,Retain as an explicit provider gap; no residual construction is permitted here.
CORP__NRC__revaluation_holding_gains,provider_source_provenance,FixedAssets,not_available,not_available,revaluation_holding_gains not directly available in the staged standard table menu,not_available,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,not_available,Retain as an explicit provider gap; no residual construction is permitted here.
CORP__TOTAL__cfc_current_cost,provider_source_provenance,FixedAssets,FAAt404,17,Corporate,Millions of current dollars,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__TOTAL__gross_investment_current_cost,provider_source_provenance,FixedAssets,FAAt407,17,Corporate,Millions of current dollars,A,1901,2024,124,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
